iter	Passed	Remaining
863	962	151
864	963	150
865	964	149
866	965	148
867	966	147
868	967	145
869	969	144
870	970	143
871	971	142
872	972	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	978	134
879	978	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	988	123
889	989	122
890	990	121
891	992	120
892	993	119
893	994	117
894	995	116
895	996	115
896	997	114
897	998	113
898	1000	112
899	1001	111
900	1002	110
901	1003	109
902	1004	107
903	1005	106
904	1006	105
905	1007	104
906	1008	103
907	1009	102
908	1010	101
909	1011	100
910	1012	98
911	1013	97
912	1014	96
913	1015	95
914	1016	94
915	1016	93
916	1018	92
917	1019	91
918	1020	89
919	1021	88
920	1021	87
921	1023	86
922	1024	85
923	1025	84
924	1026	83
925	1027	82
926	1028	80
927	1029	79
928	1030	78
929	1031	77
930	1032	76
931	1033	75
932	1034	74
933	1035	73
934	1036	72
935	1037	70
936	1038	69
937	1039	68
938	1040	67
939	1041	66
940	1041	65
941	1042	64
942	1043	63
943	1044	61
944	1045	60
945	1047	59
946	1047	58
947	1049	57
948	1051	56
949	1052	55
950	1053	54
951	1054	53
952	1056	52
953	1057	51
954	1059	49
955	1060	48
956	1061	47
957	1062	46
958	1063	45
959	1064	44
960	1065	43
961	1067	42
962	1068	41
963	1069	39
964	1070	38
965	1071	37
966	1072	36
967	1073	35
968	1074	34
969	1076	33
970	1077	32
971	1078	31
972	1079	29
973	1081	28
974	1082	27
975	1083	26
976	1084	25
977	1085	24
978	1086	23
979	1087	22
980	1089	21
981	1090	19
982	1091	18
983	1092	17
984	1094	16
985	1095	15
986	1096	14
987	1097	13
988	1098	12
989	1099	11
990	1100	9
991	1101	8
992	1102	7
993	1103	6
994	1105	5
995	1106	4
996	1107	3
997	1108	2
998	1109	1
999	1110	0
